,Date,User,Text
0,Oct-25,driver100,"Just saw this story on the national news in Canada.
Guy buys a 2013 used Nissan Leaf a few years ago. Guy loves the car.
Now he finds it is losing power quickly, can't drive far.
To save the battery he tries not to use heat or a/c.
The cost of a new battery would be $13000, more than the car is worth.
He is upset Nissan doesn't have a way to fix the problem, for a more reasonable cost.
It also upsets him that he bought an environmentally friendly car and now there is a battery that is going to get dumped.
Nissans only real solution is to trade it in on a new model.
This is why I prefer tried and true technology!
2017 MB E400 , 2015 MB GLK350, 2014 MB C250"
1,Oct-25,28firefighter,"Or check the secondary market and shops and don’t rely on the dealer for everything.
2019 Subaru Outback 3.6R Limited, 2019 BMW i3 REX, 2004 BMW 330i ZHP 6MT"
2,Oct-25,bwia,"driver100 said:
Mike, hoping for the best possible outcome.
@Mike, we all have you in our prayers."
3,Oct-25,jmonroe1,"driver100 said:
Just saw this story on the national news in Canada.
Guy buys a 2013 used Nissan Leaf a few years ago. Guy loves the car.
Now he finds it is losing power quickly, can't drive far.
To save the battery he tries not to use heat or a/c.
The cost of a new battery would be $13000, more than the car is worth.
He is upset Nissan doesn't have a way to fix the problem, for a more reasonable cost.
It also upsets him that he bought an environmentally friendly car and now there is a battery that is going to get dumped.
Nissans only real solution is to trade it in on a new model.
This is why I prefer tried and true technology!
This is what happens when you’re afraid to buy higher wattage light bulbs and you’re afraid to turn the heat up or the A/C down. Some people will never learn that there ain’t no such thing as a free lunch.

jmonroe"
4,Oct-25,suydam,"snakeweasel said:
show previous quotes


We really don't need the extra car and your presumption is correct but we wouldn't be replacing it should we dump it.

As for nice weather, yes we have a real nice convertible plus the bike
I’d take the $400.
'14 Buick Encore Convenience
'17 Chevy Volt Premiere"
5,Oct-25,suydam,"So sorry Mike. Hope it turns out well.
'14 Buick Encore Convenience
'17 Chevy Volt Premiere"
6,Oct-25,28firefighter,"On the Leaf thing:
https://cleantechnica.com/2020/08/30/dozens-of-shops-are-now-replacing-nissan-leaf-batteries/
2019 Subaru Outback 3.6R Limited, 2019 BMW i3 REX, 2004 BMW 330i ZHP 6MT"
7,Oct-25,28firefighter,"Hang in there, Mike. Good vibes being sent you and your son’s way.
2019 Subaru Outback 3.6R Limited, 2019 BMW i3 REX, 2004 BMW 330i ZHP 6MT"
8,4:46AM,driver100,"Mike, hoping for the best possible outcome.
jmonroe1 said:
show previous quotes








This is what happens when you’re afraid to buy higher wattage light bulbs and you’re afraid to turn the heat up or the A/C down. Some people will never learn that there ain’t no such thing as a free lunch.

jmonroe

.....and who are we talking about? Afraid of higher wattage light bulbs or turning the heat up or a/c down. And what does that have to do with buying an E-Car?

You can't be talking about me....I am converting light bulbs to strong LEDs as they burn out, the temperature is set to 74F.....if I can't be in Florida this winter, and in the summer the thermostat was set at 72F which was fine......no fear
2017 MB E400 , 2015 MB GLK350, 2014 MB C250"
9,5:21AM,driver100,"The complete story about the Nissan Leaf is here...plus a 2 minute video. And he did try a few dealers and some indie garages.
https://www.cbc.ca/news/business/nissan-leaf-electric-vehicle-new-battery-1.5769998
2017 MB E400 , 2015 MB GLK350, 2014 MB C250"
